Team,Week,Day,Date,,,OT,,Opp,Tm,Opp,Cmp,Att,Yds,TD,Int,Sk,Sack Yds,PY/A,NY/A,Cmp%,Rush Att,Rush Yds,RY/A,Pnt,Yds,3DConv,3DAtt,4DConv,4DAtt,ToP,OPP Cmp,OPP Att,OPP P_Yds,OPP Int,OPP Sk,OPP SACK Yds,OPP PY/A,OPP NY/A,OPP Cmp%,OPP RUSH Att,OPP RYds,OPP RY/A,OPP Pnt,OPP PUNTYds,OPP3DConv,OPP_3DAtt,OPP 4DConv,OPP 4DAtt,TMWEEK,Spread 
PITT,3,Sun,22-Sep,boxscore,L,,@,SF,20,24,14,27,160,2,1,2,14,6.4,5.5,51.9,22,79,3.6,6,314,3,12,0,1,23.7,23,32,268,2,1,9,8.7,8.1,71.9,40,168,4.2,3,150,6,11,0,0,PITT3,0
CLEVE,5,Mon,7-Oct,boxscore,L,,@,SF,3,31,9,24,78,0,2,4,42,5,2.8,37.5,18,102,5.7,7,397,1,11,0,0,22.3,20,29,171,0,2,10,6.2,5.5,69,40,275,6.9,4,176,6,16,1,1,CLEVE5,0
LAR,6,Sun,13-Oct,boxscore,L,,,SF,7,20,13,24,48,0,0,4,30,3.3,1.7,54.2,22,109,5,5,269,0,9,0,4,21.1,24,33,232,1,2,11,7.4,6.6,72.7,41,99,2.4,4,159,8,17,1,1,LAR6,0
DC,7,Sun,20-Oct,boxscore,L,,,SF,0,9,9,12,50,0,0,3,27,6.4,3.3,75,26,104,4,4,198,3,9,0,1,26.6,12,21,146,1,2,5,7.2,6.3,57.1,39,137,3.5,2,94,7,16,1,2,DC7,0
CAR,8,Sun,27-Oct,boxscore,L,,@,SF,13,51,19,37,100,0,3,7,58,4.3,2.3,51.4,19,130,6.8,7,313,2,13,0,2,27,18,22,156,1,3,19,8,6.2,81.8,38,232,6.1,3,121,5,10,0,0,CAR8,0
ARI,9,Thu,31-Oct,boxscore,L,,,SF,25,28,17,24,204,2,0,3,37,10,7.6,70.8,23,153,6.7,5,253,2,8,0,0,25.5,28,37,310,0,1,7,8.6,8.2,75.7,31,101,3.3,5,231,11,17,1,1,ARI9,10
SEA,10,Mon,11-Nov,boxscore,W,OT,@,SF,27,24,24,34,189,1,1,5,43,6.8,4.8,70.6,34,147,4.3,7,302,7,15,0,0,35.3,24,46,215,1,5,33,5.4,4.2,52.2,27,87,3.2,5,232,6,15,0,1,SEA10,6
ARI,11,Sun,17-Nov,boxscore,L,,@,SF,26,36,24,33,131,2,0,4,19,4.5,3.5,72.7,25,135,5.4,4,202,3,10,1,1,31.4,34,45,408,2,2,16,9.4,8.7,75.6,19,34,1.8,2,101,6,13,0,2,ARI11,10
GB,12,Sun,24-Nov,boxscore,L,,@,SF,8,37,23,37,81,1,0,5,38,3.2,1.9,62.2,28,117,4.2,6,223,1,15,1,3,35.3,14,20,227,0,3,26,12.7,9.9,70,22,112,5.1,4,182,3,9,0,0,GB12,3
BALT,13,Sun,1-Dec,boxscore,W,,,SF,20,17,14,23,105,1,0,1,0,4.6,4.4,60.9,38,178,4.7,2,103,3,10,2,3,32.4,15,21,157,0,2,8,7.9,6.8,71.4,29,174,6,2,90,4,12,1,2,BALT13,-6
NO,14,Sun,8-Dec,boxscore,L,,,SF,46,48,29,41,349,5,0,0,0,8.5,8.5,70.7,27,116,4.3,1,45,5,11,2,3,31.4,27,36,354,1,3,30,10.7,9.1,75,24,162,6.8,3,134,6,12,1,1,NO14,-2.5
ATL,15,Sun,15-Dec,boxscore,W,,@,SF,29,22,25,39,201,2,0,2,9,5.4,4.9,64.1,20,89,4.5,5,252,7,13,0,0,29.2,22,34,193,0,1,7,5.9,5.5,64.7,27,120,4.4,4,184,4,12,1,1,ATL15,10
LAR,16,Sat,21-Dec,boxscore,L,,@,SF,31,34,27,46,323,2,1,0,0,7,7,58.7,24,72,3,6,266,5,13,0,0,32.4,16,27,215,2,6,33,9.2,6.5,59.3,23,119,5.2,5,219,4,10,0,0,LAR16,7
SEA,17,Sun,29-Dec,boxscore,L,,,SF,21,26,25,40,223,2,0,1,10,5.8,5.4,62.5,30,125,4.2,3,150,8,14,1,3,32.9,18,22,270,0,2,15,13,11.3,81.8,24,128,5.3,2,94,4,8,0,0,SEA17,3
Cinci,1,Sun,8-Sep,boxscore,L,,@,SEA,20,21,35,51,395,2,0,5,23,8.2,7.1,68.6,14,34,2.4,4,177,6,15,0,1,35.8,14,20,160,0,4,35,9.8,6.7,70,25,72,2.9,8,376,4,12,0,0,Cinci1,0
PITT,2,Sun,15-Sep,boxscore,L,,,SEA,26,28,20,34,180,2,1,1,7,5.5,5.1,58.8,16,81,5.1,5,224,3,11,0,0,24.2,29,35,274,0,4,26,8.6,7,82.9,33,151,4.6,4,205,5,13,1,1,PITT2,0
NO,3,Sun,22-Sep,boxscore,W,,@,SEA,33,27,19,27,177,2,0,0,0,6.6,6.6,70.4,23,88,3.8,6,324,3,11,1,1,28.5,32,50,406,0,0,0,8.1,8.1,64,26,108,4.2,4,165,5,14,1,4,NO3,0
